# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 1D2    np 3D2    np 3D1    np 3D3     np E1    np 1F3    np 3F3    np 3F2    np 3F4     np E2
 80.00   50.0060  -89.2278    3.3381  -10.3051  -12.9857   48.5185    2.5815   -2.7009    1.4967   14.1509  -11.0246   -0.5632    3.3381   -1.8616   -1.2812    0.5977    0.1704   -2.7009
 81.00   49.9413  -89.6000    3.3247  -10.3388  -13.0886   48.7100    2.6087   -2.7271    1.5070   14.3064  -11.1759   -0.5736    3.3247   -1.8823   -1.2996    0.6063    0.1739   -2.7271
 82.00   49.8761  -89.9684    3.3109  -10.3717  -13.1909   48.8947    2.6357   -2.7531    1.5170   14.4605  -11.3268   -0.5841    3.3109   -1.9029   -1.3179    0.6148    0.1774   -2.7531
 83.00   49.8104   89.6667   -3.2967  -10.4039  -13.2924   49.0726    2.6624   -2.7789    1.5270   14.6131  -11.4775   -0.5946   -3.2967   -1.9233   -1.3361    0.6233    0.1809   -2.7789
 84.00   49.7443   89.3054   -3.2822  -10.4353  -13.3933   49.2442    2.6888   -2.8044    1.5367   14.7642  -11.6279   -0.6052   -3.2822   -1.9434   -1.3542    0.6317    0.1844   -2.8044
 85.00   49.6777   88.9476   -3.2673  -10.4660  -13.4935   49.4093    2.7150   -2.8296    1.5463   14.9139  -11.7781   -0.6159   -3.2673   -1.9634   -1.3723    0.6401    0.1880   -2.8296
 86.00   49.6107   88.5931   -3.2521  -10.4960  -13.5931   49.5683    2.7410   -2.8546    1.5557   15.0621  -11.9280   -0.6267   -3.2521   -1.9832   -1.3903    0.6485    0.1915   -2.8546
 87.00   49.5433   88.2420   -3.2366  -10.5253  -13.6921   49.7213    2.7667   -2.8794    1.5650   15.2088  -12.0776   -0.6375   -3.2366   -2.0027   -1.4082    0.6568    0.1951   -2.8794
 88.00   49.4754   87.8941   -3.2208  -10.5538  -13.7904   49.8684    2.7921   -2.9039    1.5741   15.3540  -12.2269   -0.6484   -3.2208   -2.0221   -1.4261    0.6650    0.1986   -2.9039
 89.00   49.4071   87.5493   -3.2046  -10.5818  -13.8881   50.0098    2.8173   -2.9282    1.5831   15.4978  -12.3760   -0.6594   -3.2046   -2.0413   -1.4439    0.6732    0.2022   -2.9282
 90.00   49.3384   87.2077   -3.1882  -10.6090  -13.9852   50.1455    2.8422   -2.9522    1.5919   15.6401  -12.5249   -0.6704   -3.1882   -2.0602   -1.4616    0.6814    0.2058   -2.9522
 91.00   49.2693   86.8690   -3.1714  -10.6356  -14.0817   50.2759    2.8669   -2.9760    1.6005   15.7809  -12.6735   -0.6815   -3.1714   -2.0790   -1.4792    0.6895    0.2093   -2.9760
 92.00   49.1997   86.5333   -3.1544  -10.6616  -14.1776   50.4009    2.8914   -2.9996    1.6090   15.9203  -12.8218   -0.6927   -3.1544   -2.0976   -1.4967    0.6975    0.2129   -2.9996
 93.00   49.1298   86.2005   -3.1371  -10.6870  -14.2729   50.5207    2.9156   -3.0230    1.6174   16.0582  -12.9698   -0.7040   -3.1371   -2.1160   -1.5142    0.7056    0.2165   -3.0230
 94.00   49.0594   85.8706   -3.1196  -10.7118  -14.3677   50.6355    2.9395   -3.0461    1.6256   16.1946  -13.1176   -0.7153   -3.1196   -2.1342   -1.5316    0.7135    0.2201   -3.0461
 95.00   48.9887   85.5433   -3.1017  -10.7359  -14.4619   50.7453    2.9632   -3.0690    1.6337   16.3295  -13.2651   -0.7268   -3.1017   -2.1522   -1.5489    0.7214    0.2236   -3.0690
 96.00   48.9175   85.2188   -3.0837  -10.7595  -14.5555   50.8503    2.9867   -3.0916    1.6417   16.4630  -13.4124   -0.7383   -3.0837   -2.1700   -1.5661    0.7293    0.2272   -3.0916
 97.00   48.8460   84.8970   -3.0653  -10.7825  -14.6486   50.9505    3.0099   -3.1141    1.6495   16.5950  -13.5594   -0.7498   -3.0653   -2.1877   -1.5833    0.7371    0.2308   -3.1141
 98.00   48.7741   84.5777   -3.0468  -10.8050  -14.7412   51.0462    3.0329   -3.1363    1.6571   16.7255  -13.7062   -0.7615   -3.0468   -2.2051   -1.6003    0.7449    0.2344   -3.1363
 99.00   48.7018   84.2610   -3.0280  -10.8269  -14.8332   51.1374    3.0556   -3.1583    1.6647   16.8546  -13.8527   -0.7732   -3.0280   -2.2224   -1.6173    0.7526    0.2379   -3.1583
100.00   48.6291   83.9468   -3.0089  -10.8482  -14.9247   51.2242    3.0781   -3.1801    1.6721   16.9822  -13.9990   -0.7850   -3.0089   -2.2395   -1.6342    0.7603    0.2415   -3.1801
101.00   48.5561   83.6350   -2.9897  -10.8691  -15.0157   51.3068    3.1004   -3.2016    1.6793   17.1084  -14.1450   -0.7968   -2.9897   -2.2564   -1.6511    0.7679    0.2451   -3.2016
102.00   48.4827   83.3256   -2.9702  -10.8894  -15.1062   51.3851    3.1224   -3.2230    1.6865   17.2330  -14.2908   -0.8087   -2.9702   -2.2731   -1.6678    0.7755    0.2487   -3.2230
103.00   48.4089   83.0185   -2.9506  -10.9091  -15.1962   51.4594    3.1442   -3.2441    1.6935   17.3563  -14.4363   -0.8207   -2.9506   -2.2896   -1.6845    0.7830    0.2522   -3.2441
104.00   48.3347   82.7137   -2.9307  -10.9284  -15.2856   51.5297    3.1658   -3.2650    1.7004   17.4781  -14.5815   -0.8328   -2.9307   -2.3060   -1.7011    0.7905    0.2558   -3.2650
105.00   48.2602   82.4112   -2.9106  -10.9472  -15.3746   51.5960    3.1871   -3.2857    1.7071   17.5984  -14.7265   -0.8450   -2.9106   -2.3222   -1.7176    0.7979    0.2594   -3.2857
106.00   48.1854   82.1109   -2.8903  -10.9655  -15.4631   51.6586    3.2082   -3.3062    1.7138   17.7173  -14.8713   -0.8572   -2.8903   -2.3382   -1.7340    0.8053    0.2629   -3.3062
107.00   48.1102   81.8127   -2.8699  -10.9833  -15.5511   51.7175    3.2290   -3.3265    1.7203   17.8347  -15.0158   -0.8695   -2.8699   -2.3540   -1.7503    0.8126    0.2665   -3.3265
108.00   48.0346   81.5166   -2.8492  -11.0006  -15.6387   51.7727    3.2497   -3.3465    1.7267   17.9507  -15.1601   -0.8818   -2.8492   -2.3697   -1.7666    0.8198    0.2700   -3.3465
109.00   47.9587   81.2227   -2.8284  -11.0175  -15.7257   51.8243    3.2701   -3.3664    1.7330   18.0653  -15.3042   -0.8943   -2.8284   -2.3852   -1.7828    0.8270    0.2736   -3.3664
110.00   47.8825   80.9307   -2.8074  -11.0339  -15.8123   51.8725    3.2902   -3.3860    1.7392   18.1784  -15.4480   -0.9068   -2.8074   -2.4005   -1.7989    0.8342    0.2771   -3.3860
111.00   47.8059   80.6407   -2.7863  -11.0499  -15.8985   51.9173    3.3102   -3.4055    1.7452   18.2902  -15.5915   -0.9193   -2.7863   -2.4156   -1.8149    0.8413    0.2807   -3.4055
112.00   47.7290   80.3527   -2.7649  -11.0654  -15.9841   51.9587    3.3299   -3.4247    1.7512   18.4004  -15.7348   -0.9320   -2.7649   -2.4306   -1.8308    0.8484    0.2842   -3.4247
113.00   47.6517   80.0666   -2.7434  -11.0804  -16.0694   51.9970    3.3494   -3.4438    1.7570   18.5093  -15.8779   -0.9447   -2.7434   -2.4454   -1.8466    0.8554    0.2877   -3.4438
114.00   47.5741   79.7824   -2.7218  -11.0951  -16.1542   52.0320    3.3686   -3.4626    1.7627   18.6167  -16.0208   -0.9574   -2.7218   -2.4600   -1.8624    0.8623    0.2912   -3.4626
115.00   47.4962   79.5000   -2.7000  -11.1093  -16.2385   52.0639    3.3876   -3.4812    1.7683   18.7227  -16.1634   -0.9703   -2.7000   -2.4745   -1.8780    0.8692    0.2948   -3.4812
