# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 1D2    np 3D2    np 3D1    np 3D3     np E1    np 1F3    np 3F3    np 3F2    np 3F4     np E2
264.00   33.0525   47.7033    1.0644   -9.9508  -24.2820   40.6097    4.1743   -4.3508    1.7660   21.9092  -34.5893   -3.0221    1.0644   -3.1244   -3.1448    1.3295    0.6250   -4.3508
265.00   32.9421   47.5238    1.0888   -9.9257  -24.3006   40.4836    4.1684   -4.3456    1.7620   21.8688  -34.6867   -3.0319    1.0888   -3.1203   -3.1454    1.3291    0.6255   -4.3456
266.00   32.8315   47.3445    1.1132   -9.9005  -24.3185   40.3573    4.1625   -4.3402    1.7579   21.8279  -34.7837   -3.0416    1.1132   -3.1161   -3.1459    1.3286    0.6260   -4.3402
267.00   32.7209   47.1655    1.1375   -9.8751  -24.3358   40.2307    4.1565   -4.3348    1.7537   21.7865  -34.8800   -3.0512    1.1375   -3.1118   -3.1463    1.3281    0.6264   -4.3348
268.00   32.6101   46.9867    1.1618   -9.8495  -24.3525   40.1038    4.1503   -4.3291    1.7495   21.7445  -34.9759   -3.0606    1.1618   -3.1075   -3.1466    1.3275    0.6268   -4.3291
269.00   32.4993   46.8081    1.1860   -9.8237  -24.3686   39.9768    4.1440   -4.3234    1.7453   21.7020  -35.0712   -3.0699    1.1860   -3.1030   -3.1468    1.3269    0.6271   -4.3234
270.00   32.3884   46.6297    1.2102   -9.7977  -24.3841   39.8495    4.1377   -4.3176    1.7410   21.6590  -35.1659   -3.0791    1.2102   -3.0984   -3.1468    1.3262    0.6275   -4.3176
271.00   32.2773   46.4516    1.2343   -9.7716  -24.3989   39.7219    4.1312   -4.3116    1.7368   21.6155  -35.2601   -3.0882    1.2343   -3.0938   -3.1468    1.3256    0.6278   -4.3116
272.00   32.1662   46.2737    1.2584   -9.7452  -24.4131   39.5941    4.1246   -4.3055    1.7324   21.5715  -35.3536   -3.0972    1.2584   -3.0890   -3.1466    1.3248    0.6281   -4.3055
273.00   32.0550   46.0961    1.2824   -9.7187  -24.4267   39.4661    4.1179   -4.2993    1.7281   21.5270  -35.4467   -3.1060    1.2824   -3.0842   -3.1464    1.3241    0.6284   -4.2993
274.00   31.9437   45.9186    1.3064   -9.6920  -24.4396   39.3379    4.1110   -4.2930    1.7237   21.4820  -35.5391   -3.1147    1.3064   -3.0792   -3.1460    1.3233    0.6286   -4.2930
275.00   31.8324   45.7414    1.3304   -9.6652  -24.4520   39.2095    4.1041   -4.2865    1.7192   21.4365  -35.6309   -3.1233    1.3304   -3.0742   -3.1455    1.3224    0.6288   -4.2865
276.00   31.7209   45.5644    1.3543   -9.6381  -24.4636   39.0808    4.0971   -4.2799    1.7147   21.3905  -35.7222   -3.1317    1.3543   -3.0691   -3.1449    1.3215    0.6290   -4.2799
277.00   31.6094   45.3876    1.3781   -9.6109  -24.4746   38.9520    4.0900   -4.2732    1.7102   21.3440  -35.8128   -3.1400    1.3781   -3.0639   -3.1442    1.3206    0.6292   -4.2732
278.00   31.4978   45.2111    1.4019   -9.5835  -24.4850   38.8229    4.0827   -4.2664    1.7057   21.2971  -35.9029   -3.1482    1.4019   -3.0586   -3.1434    1.3197    0.6293   -4.2664
279.00   31.3861   45.0347    1.4256   -9.5560  -24.4947   38.6936    4.0754   -4.2595    1.7011   21.2497  -35.9923   -3.1563    1.4256   -3.0532   -3.1425    1.3186    0.6294   -4.2595
280.00   31.2743   44.8586    1.4493   -9.5282  -24.5038   38.5642    4.0679   -4.2525    1.6965   21.2018  -36.0811   -3.1642    1.4493   -3.0478   -3.1415    1.3176    0.6295   -4.2525
281.00   31.1625   44.6827    1.4729   -9.5003  -24.5122   38.4345    4.0604   -4.2454    1.6919   21.1535  -36.1693   -3.1720    1.4729   -3.0422   -3.1403    1.3165    0.6296   -4.2454
282.00   31.0506   44.5070    1.4965   -9.4722  -24.5199   38.3046    4.0527   -4.2381    1.6872   21.1047  -36.2568   -3.1796    1.4965   -3.0366   -3.1391    1.3154    0.6297   -4.2381
283.00   30.9386   44.3315    1.5200   -9.4440  -24.5270   38.1746    4.0450   -4.2307    1.6825   21.0554  -36.3437   -3.1871    1.5200   -3.0309   -3.1377    1.3143    0.6297   -4.2307
284.00   30.8266   44.1562    1.5435   -9.4156  -24.5334   38.0444    4.0371   -4.2232    1.6777   21.0057  -36.4300   -3.1945    1.5435   -3.0251   -3.1362    1.3131    0.6297   -4.2232
285.00   30.7145   43.9812    1.5669   -9.3870  -24.5392   37.9140    4.0291   -4.2156    1.6729   20.9556  -36.5156   -3.2018    1.5669   -3.0192   -3.1347    1.3118    0.6296   -4.2156
286.00   30.6023   43.8064    1.5903   -9.3583  -24.5442   37.7834    4.0211   -4.2079    1.6681   20.9050  -36.6005   -3.2089    1.5903   -3.0132   -3.1330    1.3106    0.6296   -4.2079
287.00   30.4901   43.6317    1.6136   -9.3294  -24.5486   37.6527    4.0129   -4.2001    1.6633   20.8540  -36.6848   -3.2158    1.6136   -3.0072   -3.1312    1.3093    0.6295   -4.2001
288.00   30.3778   43.4573    1.6369   -9.3003  -24.5523   37.5218    4.0047   -4.1922    1.6584   20.8025  -36.7684   -3.2227    1.6369   -3.0010   -3.1293    1.3079    0.6294   -4.1922
289.00   30.2655   43.2831    1.6601   -9.2711  -24.5553   37.3908    3.9963   -4.1841    1.6535   20.7507  -36.8513   -3.2293    1.6601   -2.9948   -3.1273    1.3065    0.6293   -4.1841
290.00   30.1531   43.1091    1.6832   -9.2417  -24.5576   37.2595    3.9879   -4.1760    1.6486   20.6984  -36.9336   -3.2359    1.6832   -2.9885   -3.1252    1.3051    0.6291   -4.1760
291.00   30.0407   42.9353    1.7063   -9.2122  -24.5593   37.1282    3.9794   -4.1677    1.6436   20.6457  -37.0151   -3.2423    1.7063   -2.9821   -3.1230    1.3036    0.6289   -4.1677
292.00   29.9282   42.7617    1.7293   -9.1825  -24.5602   36.9966    3.9707   -4.1594    1.6386   20.5926  -37.0959   -3.2486    1.7293   -2.9756   -3.1206    1.3022    0.6287   -4.1594
293.00   29.8156   42.5884    1.7523   -9.1526  -24.5604   36.8650    3.9620   -4.1509    1.6336   20.5391  -37.1760   -3.2547    1.7523   -2.9691   -3.1182    1.3006    0.6285   -4.1509
294.00   29.7030   42.4152    1.7752   -9.1226  -24.5600   36.7332    3.9532   -4.1423    1.6285   20.4852  -37.2554   -3.2606    1.7752   -2.9625   -3.1157    1.2991    0.6282   -4.1423
295.00   29.5904   42.2423    1.7981   -9.0925  -24.5588   36.6012    3.9443   -4.1337    1.6235   20.4309  -37.3341   -3.2665    1.7981   -2.9558   -3.1130    1.2975    0.6280   -4.1337
296.00   29.4777   42.0695    1.8209   -9.0622  -24.5570   36.4692    3.9353   -4.1249    1.6183   20.3762  -37.4120   -3.2722    1.8209   -2.9490   -3.1103    1.2958    0.6277   -4.1249
297.00   29.3650   41.8970    1.8436   -9.0317  -24.5544   36.3369    3.9262   -4.1160    1.6132   20.3211  -37.4892   -3.2777    1.8436   -2.9421   -3.1074    1.2941    0.6274   -4.1160
298.00   29.2523   41.7246    1.8663   -9.0011  -24.5511   36.2046    3.9170   -4.1070    1.6080   20.2657  -37.5657   -3.2831    1.8663   -2.9352   -3.1045    1.2924    0.6270   -4.1070
299.00   29.1395   41.5525    1.8889   -8.9704  -24.5471   36.0721    3.9077   -4.0979    1.6028   20.2099  -37.6414   -3.2883    1.8889   -2.9281   -3.1014    1.2907    0.6266   -4.0979
300.00   29.0267   41.3806    1.9114   -8.9395  -24.5423   35.9396    3.8983   -4.0887    1.5976   20.1537  -37.7163   -3.2934    1.9114   -2.9211   -3.0982    1.2889    0.6262   -4.0887
301.00   28.9138   41.2089    1.9339   -8.9085  -24.5369   35.8069    3.8889   -4.0794    1.5924   20.0971  -37.7905   -3.2984    1.9339   -2.9139   -3.0950    1.2871    0.6258   -4.0794
302.00   28.8009   41.0373    1.9563   -8.8773  -24.5307   35.6740    3.8794   -4.0700    1.5871   20.0401  -37.8639   -3.3032    1.9563   -2.9066   -3.0916    1.2853    0.6254   -4.0700
303.00   28.6880   40.8660    1.9787   -8.8460  -24.5238   35.5411    3.8697   -4.0605    1.5818   19.9829  -37.9365   -3.3078    1.9787   -2.8993   -3.0881    1.2834    0.6249   -4.0605
304.00   28.5751   40.6949    2.0010   -8.8145  -24.5162   35.4081    3.8600   -4.0510    1.5764   19.9252  -38.0083   -3.3123    2.0010   -2.8919   -3.0845    1.2814    0.6244   -4.0510
305.00   28.4621   40.5240    2.0232   -8.7829  -24.5078   35.2750    3.8502   -4.0413    1.5711   19.8672  -38.0792   -3.3166    2.0232   -2.8844   -3.0808    1.2795    0.6239   -4.0413
306.00   28.3491   40.3534    2.0454   -8.7512  -24.4987   35.1418    3.8404   -4.0315    1.5657   19.8089  -38.1494   -3.3208    2.0454   -2.8769   -3.0770    1.2775    0.6234   -4.0315
307.00   28.2361   40.1829    2.0675   -8.7193  -24.4889   35.0084    3.8304   -4.0216    1.5603   19.7502  -38.2188   -3.3249    2.0675   -2.8693   -3.0731    1.2755    0.6228   -4.0216
308.00   28.1231   40.0126    2.0896   -8.6874  -24.4783   34.8750    3.8204   -4.0116    1.5549   19.6912  -38.2873   -3.3287    2.0896   -2.8616   -3.0691    1.2734    0.6222   -4.0116
309.00   28.0100   39.8425    2.1115   -8.6552  -24.4669   34.7415    3.8102   -4.0016    1.5494   19.6318  -38.3550   -3.3325    2.1115   -2.8539   -3.0650    1.2713    0.6216   -4.0016
310.00   27.8970   39.6726    2.1334   -8.6230  -24.4549   34.6079    3.8000   -3.9914    1.5439   19.5721  -38.4219   -3.3360    2.1334   -2.8460   -3.0608    1.2692    0.6210   -3.9914
311.00   27.7839   39.5030    2.1553   -8.5906  -24.4420   34.4743    3.7897   -3.9812    1.5384   19.5121  -38.4879   -3.3395    2.1553   -2.8381   -3.0565    1.2671    0.6204   -3.9812
312.00   27.6708   39.3335    2.1770   -8.5581  -24.4285   34.3405    3.7794   -3.9708    1.5329   19.4518  -38.5530   -3.3427    2.1770   -2.8302   -3.0521    1.2649    0.6197   -3.9708
313.00   27.5578   39.1642    2.1987   -8.5255  -24.4141   34.2067    3.7689   -3.9604    1.5273   19.3912  -38.6173   -3.3458    2.1987   -2.8221   -3.0476    1.2627    0.6190   -3.9604
314.00   27.4447   38.9952    2.2204   -8.4927  -24.3990   34.0728    3.7584   -3.9499    1.5217   19.3302  -38.6806   -3.3488    2.2204   -2.8140   -3.0430    1.2604    0.6183   -3.9499
315.00   27.3316   38.8263    2.2419   -8.4599  -24.3832   33.9389    3.7478   -3.9392    1.5161   19.2690  -38.7431   -3.3516    2.2419   -2.8059   -3.0383    1.2581    0.6175   -3.9392
316.00   27.2185   38.6577    2.2634   -8.4269  -24.3666   33.8049    3.7372   -3.9285    1.5105   19.2074  -38.8047   -3.3542    2.2634   -2.7976   -3.0335    1.2558    0.6168   -3.9285
317.00   27.1054   38.4893    2.2848   -8.3938  -24.3492   33.6708    3.7264   -3.9177    1.5049   19.1456  -38.8654   -3.3567    2.2848   -2.7893   -3.0286    1.2535    0.6160   -3.9177
318.00   26.9923   38.3210    2.3062   -8.3606  -24.3311   33.5366    3.7156   -3.9069    1.4992   19.0834  -38.9252   -3.3590    2.3062   -2.7809   -3.0237    1.2511    0.6152   -3.9069
319.00   26.8792   38.1530    2.3275   -8.3272  -24.3122   33.4025    3.7047   -3.8959    1.4935   19.0210  -38.9841   -3.3612    2.3275   -2.7725   -3.0186    1.2487    0.6144   -3.8959
320.00   26.7661   37.9852    2.3486   -8.2938  -24.2925   33.2682    3.6937   -3.8848    1.4878   18.9583  -39.0420   -3.3632    2.3486   -2.7640   -3.0134    1.2462    0.6135   -3.8848
321.00   26.6531   37.8176    2.3698   -8.2602  -24.2720   33.1339    3.6827   -3.8737    1.4821   18.8953  -39.0990   -3.3651    2.3698   -2.7554   -3.0081    1.2438    0.6126   -3.8737
322.00   26.5400   37.6502    2.3908   -8.2266  -24.2508   32.9996    3.6716   -3.8625    1.4763   18.8320  -39.1550   -3.3668    2.3908   -2.7468   -3.0027    1.2412    0.6118   -3.8625
323.00   26.4270   37.4830    2.4118   -8.1928  -24.2288   32.8652    3.6604   -3.8512    1.4706   18.7685  -39.2100   -3.3683    2.4118   -2.7381   -2.9972    1.2387    0.6108   -3.8512
324.00   26.3139   37.3160    2.4327   -8.1589  -24.2061   32.7308    3.6492   -3.8398    1.4648   18.7046  -39.2641   -3.3697    2.4327   -2.7294   -2.9917    1.2361    0.6099   -3.8398
325.00   26.2009   37.1492    2.4535   -8.1249  -24.1825   32.5964    3.6378   -3.8283    1.4590   18.6406  -39.3172   -3.3709    2.4535   -2.7206   -2.9860    1.2335    0.6090   -3.8283
326.00   26.0880   36.9827    2.4742   -8.0908  -24.1582   32.4619    3.6265   -3.8168    1.4531   18.5762  -39.3694   -3.3719    2.4742   -2.7117   -2.9802    1.2309    0.6080   -3.8168
327.00   25.9750   36.8163    2.4949   -8.0567  -24.1330   32.3274    3.6150   -3.8052    1.4473   18.5116  -39.4205   -3.3728    2.4949   -2.7028   -2.9744    1.2283    0.6070   -3.8052
328.00   25.8620   36.6501    2.5155   -8.0224  -24.1071   32.1929    3.6035   -3.7935    1.4414   18.4468  -39.4706   -3.3736    2.5155   -2.6938   -2.9684    1.2256    0.6060   -3.7935
329.00   25.7491   36.4842    2.5360   -7.9880  -24.0804   32.0584    3.5919   -3.7817    1.4356   18.3817  -39.5197   -3.3742    2.5360   -2.6847   -2.9624    1.2229    0.6049   -3.7817
330.00   25.6362   36.3185    2.5564   -7.9535  -24.0530   31.9238    3.5802   -3.7698    1.4297   18.3164  -39.5678   -3.3746    2.5564   -2.6756   -2.9562    1.2201    0.6039   -3.7698
331.00   25.5234   36.1529    2.5768   -7.9190  -24.0247   31.7893    3.5685   -3.7579    1.4237   18.2508  -39.6148   -3.3748    2.5768   -2.6665   -2.9500    1.2173    0.6028   -3.7579
332.00   25.4106   35.9876    2.5970   -7.8843  -23.9956   31.6547    3.5568   -3.7459    1.4178   18.1850  -39.6608   -3.3749    2.5970   -2.6573   -2.9437    1.2145    0.6017   -3.7459
333.00   25.2978   35.8225    2.6172   -7.8496  -23.9658   31.5201    3.5449   -3.7338    1.4119   18.1190  -39.7057   -3.3749    2.6172   -2.6480   -2.9373    1.2117    0.6006   -3.7338
334.00   25.1850   35.6577    2.6373   -7.8148  -23.9352   31.3855    3.5330   -3.7216    1.4059   18.0527  -39.7496   -3.3746    2.6373   -2.6387   -2.9308    1.2089    0.5994   -3.7216
335.00   25.0723   35.4930    2.6573   -7.7799  -23.9037   31.2509    3.5211   -3.7094    1.3999   17.9862  -39.7924   -3.3743    2.6573   -2.6293   -2.9242    1.2060    0.5983   -3.7094
336.00   24.9596   35.3285    2.6772   -7.7449  -23.8715   31.1163    3.5090   -3.6971    1.3939   17.9195  -39.8341   -3.3737    2.6772   -2.6199   -2.9175    1.2031    0.5971   -3.6971
337.00   24.8470   35.1643    2.6970   -7.7098  -23.8385   30.9817    3.4970   -3.6847    1.3879   17.8526  -39.8747   -3.3730    2.6970   -2.6104   -2.9108    1.2001    0.5959   -3.6847
338.00   24.7344   35.0003    2.7168   -7.6746  -23.8047   30.8472    3.4848   -3.6723    1.3819   17.7855  -39.9142   -3.3721    2.7168   -2.6008   -2.9039    1.1971    0.5947   -3.6723
339.00   24.6219   34.8365    2.7364   -7.6394  -23.7700   30.7126    3.4726   -3.6598    1.3759   17.7182  -39.9526   -3.3711    2.7364   -2.5912   -2.8970    1.1941    0.5934   -3.6598
340.00   24.5094   34.6729    2.7560   -7.6041  -23.7346   30.5781    3.4604   -3.6472    1.3698   17.6506  -39.9898   -3.3699    2.7560   -2.5816   -2.8899    1.1911    0.5922   -3.6472
341.00   24.3970   34.5095    2.7755   -7.5687  -23.6984   30.4435    3.4481   -3.6346    1.3637   17.5829  -40.0259   -3.3686    2.7755   -2.5719   -2.8828    1.1881    0.5909   -3.6346
342.00   24.2846   34.3464    2.7949   -7.5333  -23.6614   30.3090    3.4357   -3.6218    1.3577   17.5150  -40.0609   -3.3671    2.7949   -2.5622   -2.8756    1.1850    0.5896   -3.6218
343.00   24.1723   34.1834    2.8142   -7.4978  -23.6236   30.1745    3.4233   -3.6091    1.3516   17.4469  -40.0947   -3.3654    2.8142   -2.5524   -2.8683    1.1819    0.5883   -3.6091
344.00   24.0601   34.0207    2.8333   -7.4622  -23.5850   30.0401    3.4108   -3.5962    1.3455   17.3786  -40.1273   -3.3636    2.8333   -2.5426   -2.8610    1.1788    0.5870   -3.5962
345.00   23.9479   33.8582    2.8525   -7.4265  -23.5456   29.9056    3.3983   -3.5833    1.3393   17.3101  -40.1588   -3.3616    2.8525   -2.5327   -2.8535    1.1756    0.5856   -3.5833
346.00   23.8357   33.6960    2.8715   -7.3908  -23.5054   29.7713    3.3857   -3.5703    1.3332   17.2414  -40.1890   -3.3595    2.8715   -2.5228   -2.8460    1.1724    0.5842   -3.5703
347.00   23.7237   33.5339    2.8904   -7.3551  -23.4644   29.6369    3.3731   -3.5573    1.3271   17.1726  -40.2181   -3.3572    2.8904   -2.5128   -2.8384    1.1692    0.5828   -3.5573
348.00   23.6117   33.3721    2.9092   -7.3192  -23.4226   29.5026    3.3604   -3.5442    1.3209   17.1036  -40.2459   -3.3547    2.9092   -2.5028   -2.8307    1.1660    0.5814   -3.5442
349.00   23.4998   33.2105    2.9279   -7.2833  -23.3800   29.3683    3.3477   -3.5310    1.3147   17.0344  -40.2726   -3.3521    2.9279   -2.4927   -2.8229    1.1627    0.5800   -3.5310
350.00   23.3879   33.0492    2.9465   -7.2474  -23.3366   29.2341    3.3349   -3.5178    1.3086   16.9650  -40.2980   -3.3493    2.9465   -2.4826   -2.8150    1.1594    0.5786   -3.5178
