# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
 77.00   50.1972  -88.0880    3.3760  -10.1991  -12.6726   47.9013    2.4983   -2.6207  -10.5694  0.5718 
 78.00   50.1340  -88.4719    3.3638  -10.2353  -12.7777   48.1144    2.5263   -2.6477  -10.7214  0.5805 
 79.00   50.0702  -88.8518    3.3511  -10.2706  -12.8821   48.3200    2.5540   -2.6744  -10.8731  0.5891 
 80.00   50.0060  -89.2278    3.3381  -10.3051  -12.9857   48.5185    2.5815   -2.7009  -11.0246  0.5977 
 81.00   49.9413  -89.6000    3.3247  -10.3388  -13.0886   48.7100    2.6087   -2.7271  -11.1759  0.6063 
 82.00   49.8761  -89.9684    3.3109  -10.3717  -13.1909   48.8947    2.6357   -2.7531  -11.3268  0.6148 
 83.00   49.8104   89.6667   -3.2967  -10.4039  -13.2924   49.0726    2.6624   -2.7789  -11.4775  0.6233 
 84.00   49.7443   89.3054   -3.2822  -10.4353  -13.3933   49.2442    2.6888   -2.8044  -11.6279  0.6317 
 85.00   49.6777   88.9476   -3.2673  -10.4660  -13.4935   49.4093    2.7150   -2.8296  -11.7781  0.6401 
 86.00   49.6107   88.5931   -3.2521  -10.4960  -13.5931   49.5683    2.7410   -2.8546  -11.9280  0.6485 
 87.00   49.5433   88.2420   -3.2366  -10.5253  -13.6921   49.7213    2.7667   -2.8794  -12.0776  0.6568 
 88.00   49.4754   87.8941   -3.2208  -10.5538  -13.7904   49.8684    2.7921   -2.9039  -12.2269  0.6650 
 89.00   49.4071   87.5493   -3.2046  -10.5818  -13.8881   50.0098    2.8173   -2.9282  -12.3760  0.6732 
 90.00   49.3384   87.2077   -3.1882  -10.6090  -13.9852   50.1455    2.8422   -2.9522  -12.5249  0.6814 
 91.00   49.2693   86.8690   -3.1714  -10.6356  -14.0817   50.2759    2.8669   -2.9760  -12.6735  0.6895 
 92.00   49.1997   86.5333   -3.1544  -10.6616  -14.1776   50.4009    2.8914   -2.9996  -12.8218  0.6975 
 93.00   49.1298   86.2005   -3.1371  -10.6870  -14.2729   50.5207    2.9156   -3.0230  -12.9698  0.7056 
 94.00   49.0594   85.8706   -3.1196  -10.7118  -14.3677   50.6355    2.9395   -3.0461  -13.1176  0.7135 
 95.00   48.9887   85.5433   -3.1017  -10.7359  -14.4619   50.7453    2.9632   -3.0690  -13.2651  0.7214 
 96.00   48.9175   85.2188   -3.0837  -10.7595  -14.5555   50.8503    2.9867   -3.0916  -13.4124  0.7293 
 97.00   48.8460   84.8970   -3.0653  -10.7825  -14.6486   50.9505    3.0099   -3.1141  -13.5594  0.7371 
 98.00   48.7741   84.5777   -3.0468  -10.8050  -14.7412   51.0462    3.0329   -3.1363  -13.7062  0.7449 
 99.00   48.7018   84.2610   -3.0280  -10.8269  -14.8332   51.1374    3.0556   -3.1583  -13.8527  0.7526 
100.00   48.6291   83.9468   -3.0089  -10.8482  -14.9247   51.2242    3.0781   -3.1801  -13.9990  0.7603 
101.00   48.5561   83.6350   -2.9897  -10.8691  -15.0157   51.3068    3.1004   -3.2016  -14.1450  0.7679 
102.00   48.4827   83.3256   -2.9702  -10.8894  -15.1062   51.3851    3.1224   -3.2230  -14.2908  0.7755 
103.00   48.4089   83.0185   -2.9506  -10.9091  -15.1962   51.4594    3.1442   -3.2441  -14.4363  0.7830 
104.00   48.3347   82.7137   -2.9307  -10.9284  -15.2856   51.5297    3.1658   -3.2650  -14.5815  0.7905 
105.00   48.2602   82.4112   -2.9106  -10.9472  -15.3746   51.5960    3.1871   -3.2857  -14.7265  0.7979 
106.00   48.1854   82.1109   -2.8903  -10.9655  -15.4631   51.6586    3.2082   -3.3062  -14.8713  0.8053 
107.00   48.1102   81.8127   -2.8699  -10.9833  -15.5511   51.7175    3.2290   -3.3265  -15.0158  0.8126 
108.00   48.0346   81.5166   -2.8492  -11.0006  -15.6387   51.7727    3.2497   -3.3465  -15.1601  0.8198 
109.00   47.9587   81.2227   -2.8284  -11.0175  -15.7257   51.8243    3.2701   -3.3664  -15.3042  0.8270 
110.00   47.8825   80.9307   -2.8074  -11.0339  -15.8123   51.8725    3.2902   -3.3860  -15.4480  0.8342 
111.00   47.8059   80.6407   -2.7863  -11.0499  -15.8985   51.9173    3.3102   -3.4055  -15.5915  0.8413 
112.00   47.7290   80.3527   -2.7649  -11.0654  -15.9841   51.9587    3.3299   -3.4247  -15.7348  0.8484 
113.00   47.6517   80.0666   -2.7434  -11.0804  -16.0694   51.9970    3.3494   -3.4438  -15.8779  0.8554 
114.00   47.5741   79.7824   -2.7218  -11.0951  -16.1542   52.0320    3.3686   -3.4626  -16.0208  0.8623 
115.00   47.4962   79.5000   -2.7000  -11.1093  -16.2385   52.0639    3.3876   -3.4812  -16.1634  0.8692 
116.00   47.4179   79.2195   -2.6780  -11.1231  -16.3224   52.0928    3.4065   -3.4997  -16.3057  0.8761 
117.00   47.3393   78.9407   -2.6559  -11.1364  -16.4058   52.1187    3.4250   -3.5179  -16.4479  0.8829 
118.00   47.2604   78.6637   -2.6337  -11.1494  -16.4889   52.1416    3.4434   -3.5359  -16.5898  0.8896 
119.00   47.1812   78.3883   -2.6113  -11.1619  -16.5715   52.1618    3.4616   -3.5537  -16.7315  0.8963 
120.00   47.1016   78.1147   -2.5888  -11.1741  -16.6537   52.1791    3.4795   -3.5714  -16.8729  0.9030 
121.00   47.0217   77.8427   -2.5662  -11.1858  -16.7354   52.1937    3.4972   -3.5888  -17.0141  0.9096 
122.00   46.9415   77.5723   -2.5434  -11.1972  -16.8167   52.2057    3.5147   -3.6061  -17.1551  0.9161 
123.00   46.8610   77.3035   -2.5205  -11.2082  -16.8977   52.2150    3.5320   -3.6231  -17.2958  0.9226 
124.00   46.7802   77.0363   -2.4975  -11.2188  -16.9782   52.2217    3.5490   -3.6400  -17.4364  0.9290 
125.00   46.6990   76.7706   -2.4744  -11.2290  -17.0583   52.2259    3.5659   -3.6567  -17.5767  0.9354 
126.00   46.6176   76.5064   -2.4511  -11.2389  -17.1380   52.2277    3.5825   -3.6731  -17.7167  0.9418 
127.00   46.5358   76.2436   -2.4278  -11.2483  -17.2173   52.2271    3.5989   -3.6894  -17.8566  0.9480 
128.00   46.4538   75.9824   -2.4043  -11.2575  -17.2961   52.2241    3.6151   -3.7055  -17.9962  0.9543 
