   th_cm th3_lab th4_lab       theory     +- error    reference     +- error         DChi
  162.00   80.92    9.17 -0.36926E-01   0.0000       0.0000       0.0000       0.0000
  163.00   81.43    8.69 -0.34895E-01   0.0000       0.0000       0.0000       0.0000
  164.00   81.93    8.21 -0.32858E-01   0.0000       0.0000       0.0000       0.0000
  165.00   82.43    7.73 -0.30817E-01   0.0000       0.0000       0.0000       0.0000
  166.00   82.93    7.26 -0.28772E-01   0.0000       0.0000       0.0000       0.0000
  167.00   83.44    6.78 -0.26724E-01   0.0000       0.0000       0.0000       0.0000
  168.00   83.94    6.31 -0.24673E-01   0.0000       0.0000       0.0000       0.0000
  169.00   84.44    5.85 -0.22620E-01   0.0000       0.0000       0.0000       0.0000
  170.00   84.94    5.39 -0.20566E-01   0.0000       0.0000       0.0000       0.0000
  171.00   85.43    4.94 -0.18511E-01   0.0000       0.0000       0.0000       0.0000
  172.00   85.93    4.49 -0.16455E-01   0.0000       0.0000       0.0000       0.0000
  173.00   86.42    4.06 -0.14398E-01   0.0000       0.0000       0.0000       0.0000
  174.00   86.90    3.65 -0.12341E-01   0.0000       0.0000       0.0000       0.0000
  175.00   87.38    3.26 -0.10284E-01   0.0000       0.0000       0.0000       0.0000
  176.00   87.83    2.90 -0.82274E-02   0.0000       0.0000       0.0000       0.0000
  177.00   88.24    2.58 -0.61705E-02   0.0000       0.0000       0.0000       0.0000
  178.00   88.59    2.33 -0.41136E-02   0.0000       0.0000       0.0000       0.0000
  179.00   88.82    2.17 -0.20568E-02   0.0000       0.0000       0.0000       0.0000
  180.00   88.91    2.11   0.0000       0.0000       0.0000       0.0000       0.0000
