# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
   95      48.6251      85.4266     -3.11963     -10.8048     -14.5508      51.2058      2.99205     -3.09241     -13.3652     0.726411
   96      48.5552      85.1016     -3.10134     -10.8285      -14.645      51.3084       3.0157     -3.11522     -13.5135     0.734315
   97      48.4849      84.7792     -3.08281     -10.8517     -14.7387      51.4063      3.03909     -3.13781     -13.6616     0.742169
   98      48.4142      84.4595     -3.06404     -10.8742     -14.8318      51.4996      3.06224     -3.16017     -13.8094     0.749973
   99      48.3431      84.1423     -3.04503     -10.8963     -14.9244      51.5884      3.08515     -3.18231      -13.957     0.757727
  100      48.2716      83.8276     -3.02579     -10.9178     -15.0164      51.6729      3.10782     -3.20422     -14.1043      0.76543
  101      48.1998      83.5154     -3.00633     -10.9387      -15.108       51.753      3.13024     -3.22591     -14.2514     0.773082
  102      48.1275      83.2055     -2.98665     -10.9591      -15.199      51.8289      3.15243     -3.24739     -14.3982     0.780684
  103      48.0549       82.898     -2.96676      -10.979     -15.2895      51.9008      3.17437     -3.26865     -14.5447     0.788235
  104      47.9819      82.5928     -2.94666     -10.9984     -15.3795      51.9687      3.19608     -3.28969     -14.6911     0.795735
  105      47.9086      82.2898     -2.92636     -11.0173      -15.469      52.0326      3.21755     -3.31051     -14.8371     0.803183
  106      47.8349      81.9891     -2.90587     -11.0357      -15.558      52.0928      3.23878     -3.33112     -14.9829      0.81058
  107      47.7608      81.6905     -2.88519     -11.0536     -15.6466      52.1492      3.25978     -3.35152     -15.1285     0.817925
  108      47.6864       81.394     -2.86433      -11.071     -15.7346       52.202      3.28054     -3.37171     -15.2738     0.825219
  109      47.6116      81.0996     -2.84328      -11.088     -15.8222      52.2513      3.30107     -3.39168     -15.4189     0.832461
  110      47.5365      80.8073     -2.82206     -11.1045     -15.9093      52.2971      3.32137     -3.41145     -15.5638     0.839651
  111       47.461      80.5169     -2.80067     -11.1205      -15.996      52.3394      3.34144     -3.43101     -15.7084     0.846789
  112      47.3851      80.2285     -2.77911     -11.1361     -16.0822      52.3785      3.36128     -3.45036     -15.8527     0.853874
  113       47.309       79.942     -2.75739     -11.1513     -16.1679      52.4143      3.38088     -3.46951     -15.9969     0.860908
  114      47.2324      79.6574     -2.73551      -11.166     -16.2532       52.447      3.40026     -3.48845     -16.1407     0.867889
  115      47.1556      79.3747     -2.71347     -11.1803      -16.338      52.4765      3.41942     -3.50719     -16.2844     0.874818
  116      47.0784      79.0938     -2.69129     -11.1941     -16.4224       52.503      3.43835     -3.52573     -16.4278     0.881694
  117      47.0009      78.8146     -2.66896     -11.2076     -16.5064      52.5265      3.45705     -3.54406      -16.571     0.888518
  118       46.923      78.5372     -2.64649     -11.2206     -16.5899      52.5471      3.47553      -3.5622     -16.7139     0.895289
  119      46.8448      78.2616     -2.62388     -11.2332      -16.673      52.5649      3.49378     -3.58013     -16.8566     0.902007
  120      46.7663      77.9876     -2.60114     -11.2454     -16.7557      52.5799      3.51182     -3.59787     -16.9991     0.908673
  121      46.6874      77.7152     -2.57826     -11.2572      -16.838      52.5922      3.52963     -3.61541     -17.1414     0.915286
  122      46.6083      77.4445     -2.55526     -11.2687     -16.9198      52.6018      3.54723     -3.63275     -17.2834     0.921846
  123      46.5288      77.1754     -2.53214     -11.2797     -17.0012      52.6088       3.5646     -3.64989     -17.4252     0.928353
